task	pdfs	pages	sheets	callouts	details	error
intraproject/submittal-review/easy-rejected-casework	3	700	25	14	102	
intraproject/submittal-review/easy-rejected-painting	3	1171	45	139	367	
intraproject/submittal-review/easy-rr-accessories	3	1117	32	71	211	
intraproject/submittal-review/easy-rr-casework	3	701	25	14	102	
intraproject/submittal-review/easy-rr-painting	3	1179	45	139	367	
intraproject/submittal-review/hard-approved-hardware	3	1029	32	71	191	
intraproject/submittal-review/hard-approved-panelboard	3	1177	45	139	373	
intraproject/submittal-review/hard-approved-vrf	3	702	25	14	102	
intraproject/submittal-review/hard-equal-hardware	3	1079	32	71	191	
intraproject/submittal-review/hard-equal-panelboard	3	1172	45	139	367	
intraproject/submittal-review/hard-equal-vrf	3	745	28	14	116	
intraproject/submittal-review/hard-rejected-hardware	3	1016	32	71	206	
intraproject/submittal-review/hard-rejected-panelboard	3	1171	45	139	367	
intraproject/submittal-review/hard-rejected-vrf	3	701	25	14	102	
intraproject/submittal-review/hard-rr-hardware	3	1004	32	71	191	
intraproject/submittal-review/hard-rr-panelboard	3	1177	45	139	372	
intraproject/submittal-review/hard-rr-vrf	3	735	26	14	102	
intraproject/submittal-review/medium-approved-firestop	3	1170	45	139	367	
intraproject/submittal-review/medium-approved-watercloset	3	701	25	14	102	
intraproject/submittal-review/medium-approved-windows	3	1007	32	71	191	
intraproject/submittal-review/medium-equal-firestop	3	1173	45	139	367	
intraproject/submittal-review/medium-equal-watercloset	3	704	25	14	102	
intraproject/submittal-review/medium-rejected-firestop	3	1174	45	139	367	
intraproject/submittal-review/medium-rejected-watercloset	3	701	25	14	102	
intraproject/submittal-review/medium-rejected-windows	3	1052	81	71	191	
intraproject/submittal-review/medium-rejected2-windows	3	1157	32	71	191	
intraproject/submittal-review/medium-rr-firestop	3	1175	45	139	367	
intraproject/submittal-review/medium-rr-watercloset	3	701	25	14	102	
intraproject/submittal-review/medium-rr-windows	3	1031	32	71	195	
intrasheet/detail-technical-review/03add-constructability-01	1	1	1	0	4	
intrasheet/detail-technical-review/gfiaa-constructability-01	1	1	1	0	4	
intrasheet/detail-technical-review/gfiaa-constructability-02	1	1	1	0	3	
intrasheet/detail-technical-review/gfiaa-performance-01	1	1	1	0	3	
intrasheet/detail-technical-review/nmrc-clean-01	1	1	0	0	6	
intrasheet/detail-technical-review/nmrc-constructability-01	1	1	1	0	12	
intrasheet/detail-technical-review/nmrc-performance-01	1	1	1	0	12	
intrasheet/detail-technical-review/rees-constructability-01	1	1	1	0	0	
intrasheet/detail-technical-review/rees-performance-01	1	1	1	0	0	
intrasheet/detail-technical-review/uccs-clean-01	1	1	0	0	13	
intrasheet/detail-technical-review/uccs-constructability-01	1	1	1	1	6	
intrasheet/detail-technical-review/usu-constructability-01	1	1	1	0	2	
intrasheet/detail-technical-review/usu-performance-01	1	1	1	4	20	
intrasheet/detail-technical-review/usu-performance-02	1	1	1	0	4	
intrasheet/detail-title-accuracy/03-addendum1-office-a700-foundation-mislabel	1	1	1	0	7	
intrasheet/detail-title-accuracy/armstrong-mill-water-heater-mislabel	1	1	1	0	12	
intrasheet/detail-title-accuracy/chma-easton-partition-elevation-mislabel	1	1	1	0	7	
intrasheet/detail-title-accuracy/darrington-library-millwork-clean	1	1	1	0	14	
intrasheet/detail-title-accuracy/gfiaa-foundation-framing-mislabel	1	1	1	0	3	
intrasheet/detail-title-accuracy/lcad-exhaust-fan-mislabel	1	1	0	0	11	
intrasheet/detail-title-accuracy/mechanical-room-section-elevation-mislabel	1	1	1	0	10	
intrasheet/detail-title-accuracy/mep-holabird-water-heater-system-mislabel	1	1	1	0	8	
intrasheet/detail-title-accuracy/north-macon-heat-pump-mislabel	1	1	1	0	1	
intrasheet/detail-title-accuracy/rees-rtc-addendum-window-section-mislabel	1	1	1	0	5	
intrasheet/detail-title-accuracy/rees-rtc-section-elevation-mislabel	1	1	1	1	12	
intrasheet/detail-title-accuracy/uccs-restroom-plan-elevation-mislabel	1	1	1	2	12	
intrasheet/detail-title-accuracy/usu-aspire-restroom-elevations-clean	1	1	1	0	11	
intrasheet/detail-title-accuracy/usu-aspire-stair-framing-mislabel	1	1	1	2	10	
intrasheet/detail-title-accuracy/wcu-walkway-roof-floor-mislabel	1	1	0	0	5	
